category_id,views_fd,likes_fd,dislikes_fd,comment_count_fd,weekday_weekend,days_spent_trending
22,351287,19988,1200,1409,0,13
20,206258,10322,440,1850,1,13
24,311117,46769,134,2819,0,13
10,1292926,77746,6945,11701,0,13
10,486361,46478,290,3998,0,13
22,175181,2301,79,361,0,13
26,1589565,79987,1749,4894,0,13
22,181427,23507,121,1747,0,13
10,162446,10489,235,463,0,13
24,278573,13910,57,872,0,13
1,320963,6329,262,566,0,13
15,218306,15535,108,788,0,13
27,174715,7305,141,588,0,13
28,296237,38776,466,1315,0,13
24,203984,20083,103,1135,0,13
24,99289,8543,105,2330,0,13
24,171576,936,97,218,0,13
26,243123,13733,708,1359,0,13
23,2347708,294170,1911,12640,0,13
24,354015,15189,341,1961,0,13
24,2590142,44396,3396,6604,0,13
22,3396721,149881,2567,10650,0,13
23,1980510,65268,9370,6076,0,13
27,961607,46360,1179,6757,0,13
24,317382,2997,617,1036,0,13
28,488858,15705,690,1616,0,13
10,822140,19161,931,2096,0,13
27,350151,8011,359,643,0,13
25,357842,6884,544,663,0,13
25,433833,12356,307,1129,0,13
25,356363,9666,315,700,0,13
28,269301,13406,262,2852,0,13
17,402192,4136,220,2176,0,13
26,232400,15396,319,1255,0,13
22,1538339,44985,2089,3926,0,13
23,795307,28656,2821,2896,0,13
17,968339,18175,373,2230,1,13
26,2292576,103568,2831,11116,1,12
28,294419,7310,378,2780,1,12
24,1341134,82424,1914,72770,0,12
28,643685,23240,460,1618,0,12
1,719283,41694,758,3581,0,12
10,1156148,215244,1304,20056,0,12
25,265128,2030,372,4001,0,12
27,1865071,137893,3691,15624,1,12
24,35053,2475,284,403,0,12
25,160447,1041,573,1510,0,12
23,225941,3849,728,762,1,12
1,235976,2387,37,169,0,12
22,379441,3814,171,490,0,12
24,460897,14764,345,1570,0,12
28,1183254,28501,1060,2121,0,12
24,107543,7522,138,622,0,12
24,871012,34832,858,2233,0,12
22,318040,21951,864,1746,0,12
24,260345,4453,393,1262,0,12
10,1916118,129926,3531,5565,0,12
24,145493,5071,126,708,0,12
27,417684,11957,392,1317,0,12
24,744256,18615,2388,3593,0,12
22,1202896,32265,1960,2424,0,12
24,566951,13350,805,1656,1,12
10,154184,4753,110,265,0,12
24,58528,3237,66,399,0,12
24,685396,53566,1402,18765,1,12
24,842195,17314,2368,13887,0,12
10,726149,59182,615,3805,0,12
28,467558,9926,342,1067,1,12
24,1302579,136571,2286,33794,1,12
25,45902,1919,380,1867,0,12
23,1160376,23068,1440,3903,0,12
10,270593,20076,458,880,1,12
17,1820947,31223,702,1925,0,12
1,168135,4399,201,0,1,12
24,513181,8188,112,530,0,12
10,150729,13242,302,963,0,12
17,917010,15273,124,1303,0,12
26,732311,36727,858,2574,0,12
10,608902,43123,800,3594,0,12
23,440678,14185,310,718,0,12
22,691505,26217,230,808,0,12
26,320072,18605,326,13208,0,12
10,146906,7110,117,413,0,12
10,380480,33385,158,1802,0,12
20,508016,41934,1330,6337,0,12
26,540610,35082,1005,4147,1,12
23,1529801,134986,642,8941,0,12
10,706458,84037,723,6531,0,12
23,1372576,57332,3007,4404,0,12
23,3241405,42172,1270,2369,0,12
26,13596,1365,12,92,0,12
27,161597,8669,128,816,0,12
24,194139,15723,171,718,1,12
28,267900,15931,223,1836,0,12
27,1081357,79641,901,5789,0,12
23,1081127,109200,2500,14134,1,12
1,25640,689,267,453,0,12
24,64293,2028,57,465,0,12
23,250111,12333,581,727,0,12
26,229081,24190,98,4453,0,12
22,4787893,263404,2215,25999,0,12
24,1236325,72263,2400,17713,1,12
28,280505,10721,2901,2336,0,12
24,99134,7924,159,621,1,12
15,189047,16839,74,1286,0,12
10,783674,59623,1267,3243,0,12
24,84616,3937,99,502,0,12
28,266671,17421,185,1876,0,12
28,29301,514,33,83,0,12
23,661932,41727,1809,3336,1,12
28,255469,11680,782,2007,0,12
10,174233,5642,65,273,0,12
23,782177,12161,295,1115,0,12
24,537267,50334,568,6899,0,12
23,891487,13352,264,578,0,12
24,2378820,26468,775,863,0,12
10,212489,16392,128,941,0,12
10,151608,6243,115,1186,0,12
10,275628,5273,217,213,0,12
24,374192,16464,2749,1405,0,12
10,101830,4072,770,483,0,12
26,116926,4211,104,514,1,12
10,1317501,111094,2104,9925,0,12
10,62052,6373,36,336,0,12
1,525797,502,67,76,0,12
25,294412,15363,1592,1558,1,12
22,626301,13311,223,867,0,12
10,170436,8471,122,559,0,12
10,63460,6170,53,1149,0,12
17,158585,1282,22,86,1,12
